id,title,vote average,vote_count,status,release date,revenue,runtime,adult,budget,imdb_id,original_language,popularity,genres,spoken_languages,AddedDate
408179,'Til After Her Death,5.8,5,Released,01/01/1916,0,73,FALSE,0,tt0351037,es,0.6,Drama,No Language,04/12/2024
104753,Soldiers in Hiding,7,5,Released,11/11/1984,0,53,FALSE,0,tt0090043,en,1.729,"Documentary, War",English,04/12/2024
728096,Anthony,6,5,Released,27/07/2020,0,86,FALSE,0,tt12745216,en,2.882,Drama,English,04/12/2024
1069327,Goodbye Vinyle,6,5,Released,26/08/2023,0,0,FALSE,0,tt24869756,fr,5.311,"TV Movie, Thriller, Crime, Drama",French,04/12/2024
636473,After His Death,3.8,5,Released,16/09/2017,0,11,FALSE,0,tt6615734,he,0.811,Drama,Hebrew,04/12/2024
79843,Doctor Love,4.5,5,Released,09/09/2011,0,157,FALSE,0,tt2061650,ml,1.75,"Romance, Comedy",Malayalam,04/12/2024
254480,Light Drops,5,5,Released,15/02/2002,0,103,FALSE,0,tt0191161,pt,0.997,Drama,Portuguese,04/12/2024
728106,In Between Dying,6.6,5,Released,10/06/2021,0,88,FALSE,0,tt11268864,az,1.995,Drama,Azerbaijani,04/12/2024
408129,Magical DoReMi Sharp: The Movie,6.2,5,Released,08/07/2000,0,27,FALSE,0,tt5911078,ja,4.743,"Comedy, Family, Fantasy, Animation",Japanese,04/12/2024
408289,The Brooklyn Banker,4.833,5,Released,05/08/2016,0,95,FALSE,0,tt3758564,en,2.426,"Action, Drama, Crime",,04/12/2024
447127,The Secret Origin of X-Men,5.2,5,Released,25/11/2003,0,15,FALSE,0,tt0395756,en,2.477,Documentary,,04/12/2024
408298,Interchange,3.2,5,Released,05/08/2016,0,102,FALSE,0,tt5885886,ms,1.304,"Fantasy, Thriller","English, Malay",04/12/2024
447027,Running Forever,7.8,5,Released,27/10/2015,0,88,FALSE,5000000,tt4453560,en,1.606,Family,English,04/12/2024
408429,Perfect Cowboy,4,5,Released,13/07/2014,0,109,FALSE,200,tt3581098,en,0.6,Drama,English,04/12/2024
2502,The Bourne Supremacy,7.315,6977,Released,23/07/2004,288500217,108,FALSE,75000000,tt0372183,en,28.983,"Action, Drama, Thriller","English, Russian, German, Italian",04/12/2024
359724,Ford v Ferrari,8.01,6972,Released,13/11/2019,225508210,153,FALSE,97600000,tt1950186,en,78.353,"Drama, Action, History","French, Japanese, Italian, English",04/12/2024
32657,Percy Jackson & the Olympians: The Lightning Thief,6.21,6964,Released,01/02/2010,226497209,118,FALSE,95000000,tt0814255,en,62.104,"Adventure, Fantasy, Family",English,04/12/2024
14836,Coraline,7.854,6950,Released,05/02/2009,124600000,100,FALSE,60000000,tt0327597,en,105.931,"Animation, Family, Fantasy",English,04/12/2024
312221,Creed,7.413,6949,Released,25/11/2015,173567581,133,FALSE,37000000,tt3076658,en,43.906,"Action, Drama","English, Spanish",04/12/2024
4638,Hot Fuzz,7.554,6929,Released,14/02/2007,80573774,121,FALSE,12000000,tt0425112,en,24.96,"Crime, Action, Comedy",English,04/12/2024
454983,The Kissing Booth,7.229,6926,Released,11/05/2018,0,105,FALSE,0,tt3799232,en,36.649,"Romance, Comedy",English,04/12/2024
300669,Don't Breathe,7.009,6922,Released,08/06/2016,159047649,89,FALSE,9900000,tt4160708,en,24.908,"Thriller, Horror",English,04/12/2024
214756,Ted 2,6.286,6892,Released,25/06/2015,215863606,115,FALSE,68000000,tt2637276,en,58.25,"Comedy, Fantasy",English,04/12/2024
1954,The Butterfly Effect,7.56,6890,Released,17/01/2004,96060858,113,FALSE,13000000,tt0289879,en,30.387,"Science Fiction, Thriller",English,04/12/2024
493922,Hereditary,7.274,6880,Released,07/06/2018,82530552,128,FALSE,10000000,tt7784604,en,38.531,"Horror, Mystery, Thriller",English,04/12/2024
408,Snow White and the Seven Dwarfs,7.116,6840,Released,21/12/1937,184925486,83,FALSE,1488423,tt0029583,en,53.193,"Fantasy, Animation, Family",English,04/12/2024
59436,Midnight in Paris,7.535,6835,Released,11/05/2011,151119219,94,FALSE,17000000,tt1605783,en,25.087,"Fantasy, Comedy, Romance","English, French, German, Spanish",04/12/2024
11970,Hercules,7.501,6823,Released,20/06/1997,252712101,93,FALSE,85000000,tt0119282,en,57.069,"Animation, Family, Fantasy, Adventure, Comedy, Romance","English, Spanish, Greek",04/12/2024
168672,American Hustle,6.848,6821,Released,03/12/2013,251171807,138,FALSE,40000000,tt1800241,en,20.876,"Drama, Crime",English,04/12/2024
395992,Life,6.423,6811,Released,22/03/2017,100541806,104,FALSE,58000000,tt5442430,en,48.2,"Horror, Science Fiction, Mystery, Thriller","English, Japanese, Vietnamese",04/12/2024
44912,Green Lantern,5.167,6806,Released,14/06/2011,219851172,114,FALSE,200000000,tt1133985,en,32.041,"Adventure, Action, Thriller, Science Fiction",English,04/12/2024
584,2 Fast 2 Furious,6.483,6795,Released,05/06/2003,236350661,108,FALSE,76000000,tt0322259,en,6.294,"Action, Crime, Thriller","English, Spanish",04/12/2024
223702,Sausage Party,5.734,6789,Released,11/07/2016,140705322,89,FALSE,19000000,tt1700841,en,44.804,"Adventure, Animation, Comedy, Fantasy",English,04/12/2024
458723,Us,6.97,6776,Released,14/03/2019,256067149,116,FALSE,20000000,tt6857112,en,25.853,"Horror, Thriller, Mystery",English,04/12/2024
44826,Hugo,7.171,6763,Released,22/11/2011,185770160,126,FALSE,170000000,tt0970179,en,29.197,"Adventure, Drama, Family",English,04/12/2024
621,Grease,7.394,6760,Released,07/07/1978,181813770,110,FALSE,6000000,tt0077631,en,37.651,"Romance, Comedy",English,04/12/2024
62213,Dark Shadows,6.044,6754,Released,09/05/2012,245527149,113,FALSE,150000000,tt1077368,en,29.198,"Comedy, Fantasy",English,04/12/2024
10192,Shrek Forever After,6.351,6751,Released,16/05/2010,752600867,93,FALSE,165000000,tt0892791,en,65.35,"Comedy, Adventure, Fantasy, Animation, Family",English,04/12/2024
502356,The Super Mario Bros. Movie,7.775,6743,Released,05/04/2023,1355725263,93,FALSE,100000000,tt6718170,en,410.411,"Animation, Family, Adventure, Fantasy, Comedy",English,04/12/2024
282035,The Mummy,5.507,6741,Released,06/06/2017,409231607,110,FALSE,125000000,tt2345759,en,21.893,"Fantasy, Thriller, Action, Adventure, Horror","Arabic, English",04/12/2024
7326,Juno,7.048,6736,Released,05/12/2007,232372681,96,FALSE,7500000,tt0467406,en,22.245,"Comedy, Drama, Romance",English,04/12/2024
153,Lost in Translation,7.392,6734,Released,18/09/2003,119723856,102,FALSE,4000000,tt0335266,en,27.061,"Drama, Romance","Japanese, English",04/12/2024
163,Ocean's Twelve,6.564,6721,Released,09/12/2004,362744280,125,FALSE,110000000,tt0349903,en,27.103,"Thriller, Crime","French, Italian, Dutch, Mandarin, English",04/12/2024
598,City of God,8.429,6708,Released,30/08/2002,30641770,130,FALSE,3300000,tt0317248,pt,29.573,"Drama, Crime",Portuguese,04/12/2024
587,Big Fish,7.761,6707,Released,25/12/2003,123218424,125,FALSE,70000000,tt0319061,en,18.982,"Adventure, Fantasy, Drama",English,04/12/2024
1824,50 First Dates,6.844,6705,Released,13/02/2004,196482882,99,FALSE,75000000,tt0343660,en,36.466,"Comedy, Romance",English,04/12/2024
13804,Fast & Furious,6.68,6702,Released,02/04/2009,363164265,107,FALSE,85000000,tt1013752,en,7.716,"Action, Crime, Drama, Thriller","English, Spanish",04/12/2024
396535,Train to Busan,7.8,6694,Released,20/07/2016,87547518,118,FALSE,8500000,tt5700672,ko,49.553,"Horror, Thriller, Action, Adventure",Korean,04/12/2024
65,8 Mile,7.124,6692,Released,08/11/2002,242875078,111,FALSE,41000000,tt0298203,en,36.179,"Drama, Music",English,04/12/2024
8871,How the Grinch Stole Christmas,6.741,6688,Released,15/11/2000,345823040,104,FALSE,123000000,tt0170016,en,50.556,"Family, Comedy, Fantasy",English,04/12/2024
363676,Sully,7.177,6686,Released,07/09/2016,240797623,96,FALSE,60000000,tt3263904,en,23.191,"Drama, History",English,04/12/2024
