id,title,vote average,vote_count,status,release date,revenue,runtime,adult,budget,imdb_id,original_language,popularity,genres,spoken_languages,AddedDate
671,Harry Potter and the Philosopher's Stone,7.916,25379,Released,16/11/2001,976475550,152,FALSE,125000000,tt0241527,en,185.482,"Adventure, Fantasy",English,05/12/2024
1726,Iron Man,7.64,24874,Released,30/04/2008,585174222,126,FALSE,140000000,tt0371746,en,72.897,"Action, Science Fiction, Adventure","English, Persian, Urdu, Arabic",05/12/2024
68718,Django Unchained,8.171,24672,Released,25/12/2012,425368238,165,FALSE,100000000,tt1853728,en,54.224,"Drama, Western","English, French, German",05/12/2024
278,The Shawshank Redemption,8.702,24649,Released,23/09/1994,28341469,142,FALSE,25000000,tt0111161,en,122.61,"Drama, Crime",English,05/12/2024
299534,Avengers: Endgame,8.263,23857,Released,24/04/2019,2800000000,181,FALSE,356000000,tt4154796,en,91.756,"Adventure, Science Fiction, Action","English, Japanese, Xhosa",05/12/2024
603,The Matrix,8.206,23815,Released,30/03/1999,463517383,136,FALSE,63000000,tt0133093,en,78.564,"Action, Science Fiction",English,05/12/2024
597,Titanic,7.9,23637,Released,18/11/1997,2264162353,194,FALSE,200000000,tt0120338,en,102.348,"Drama, Romance","English, French, German, Swedish, Italian, Russian",05/12/2024
475557,Joker,8.168,23425,Released,01/10/2019,1074458282,122,FALSE,55000000,tt7286456,en,54.522,"Crime, Thriller, Drama",English,05/12/2024
120,The Lord of the Rings: The Fellowship of the Ring,8.402,23323,Released,18/12/2001,871368364,179,FALSE,93000000,tt0120737,en,87.037,"Adventure, Fantasy, Action",English,05/12/2024
256283,Looking for Light: Jane Bown,5.8,5,Released,25/04/2014,0,90,FALSE,0,tt3103564,en,0.6,Documentary,English,05/12/2024
611412,Ohong Village,6.4,5,Released,05/06/2020,0,91,FALSE,0,tt10494406,zh,0.622,Drama,Mandarin,05/12/2024
256275,McBride: Tune in for Murder,6.2,5,Released,14/08/2005,0,88,FALSE,0,tt0457410,en,1.441,"Mystery, Crime, Drama",,05/12/2024
444217,Miracolo a Palermo!,5.6,5,Released,01/04/2005,0,0,FALSE,0,tt0399356,it,1.739,"Comedy, Drama",Italian,05/12/2024
256408,Changes in the Village,5.4,5,Released,21/07/1963,0,105,FALSE,0,tt0059211,si,0.861,Drama,Sinhalese,05/12/2024
444185,The Coldest Winter in Peking,7.2,5,Released,05/02/1981,0,125,FALSE,0,tt0082189,zh,2.83,Drama,Mandarin,05/12/2024
30682,Ørkenens Sønner: En Storm i Et Glas Vand,7,5,Released,01/10/2001,0,0,FALSE,0,tt0357347,da,0.6,"Comedy, Family, Music",Danish,05/12/2024
256502,I Am Tom Moody,5,5,Released,05/07/2012,0,7,FALSE,0,tt2196116,en,0.813,Animation,English,05/12/2024
444069,Iris Warriors,5.2,5,Released,04/01/2022,0,107,FALSE,0,tt5787290,en,2.734,"Drama, Fantasy, Family",English,05/12/2024
410091,Dialogue au sommet,5.6,5,Released,01/01/1996,0,8,FALSE,0,tt0116096,fr,0.6,,,05/12/2024
444628,Dr. Jekyll and Mr. Hyde,4.2,5,Released,31/01/2017,0,83,FALSE,0,tt3132614,fr,1.442,"Fantasy, Horror",English,05/12/2024
275235,WWE: The Best of Raw - After the Show,6.6,5,Released,22/04/2014,0,0,FALSE,0,tt3728402,en,2.138,"Action, Drama",,05/12/2024
256129,The Alley,6.2,5,Released,18/02/1981,0,100,FALSE,0,tt5663040,zh,0.765,"Drama, Romance",Mandarin,05/12/2024
102991,Le coq du régiment,7,5,Released,06/06/1933,0,80,FALSE,0,tt0171194,fr,0.6,Comedy,French,05/12/2024
256127,Pacifier,5.5,5,Released,01/01/1995,0,1,FALSE,0,tt0110760,en,0.74,"Comedy, Animation",No Language,05/12/2024
444649,Trevico-Torino (viaggio nel Fiat-Nam),6.5,5,Released,03/01/1973,0,101,FALSE,0,tt0144647,it,0.6,Drama,Italian,05/12/2024
256163,Maathaad Maathaadu Mallige,5.7,5,Released,24/08/2007,0,130,FALSE,0,tt2915076,kn,1.275,Drama,Kannada,05/12/2024
80574,"Who, If Not Us",5.1,5,Released,06/06/1998,0,89,FALSE,0,tt0261009,ru,0.669,"Drama, Family",Russian,05/12/2024
444660,Young Men,6.4,5,Released,27/09/2017,0,72,FALSE,0,tt7488918,en,0.6,"Drama, Music, War",No Language,05/12/2024
934605,Attack of the 50 Foot Camgirl,4.8,5,Released,01/03/2022,0,61,FALSE,0,tt17052666,en,3.479,"Science Fiction, Comedy",English,05/12/2024
103021,A Man with Style,5.3,5,Released,18/06/2011,0,110,FALSE,0,tt1705047,ja,2.3,"Drama, Comedy",Japanese,05/12/2024
275249,Maracaná,6,5,Released,12/03/2014,0,75,FALSE,0,tt3730650,pt,0.67,Documentary,"Spanish, Portuguese",05/12/2024
256102,"To Singapore, with Love",6.4,5,Released,10/07/2013,0,70,FALSE,0,tt3461274,zh,0.6,Documentary,"Mandarin, English, Malay",05/12/2024
934607,Sheryl,6.8,5,Released,11/03/2022,0,94,FALSE,0,tt17678010,en,1.996,"Documentary, Music",,05/12/2024
256094,Pastor Hall,7.9,5,Released,28/05/1940,0,95,FALSE,0,tt0032894,en,1.609,Drama,English,05/12/2024
103066,Any And Every Which Way,3.6,5,Released,27/02/2010,0,75,FALSE,0,tt1584828,ja,2.341,"Comedy, Romance",Japanese,05/12/2024
256161,Huccha,5.9,5,Released,06/07/2001,0,178,FALSE,0,tt2914444,en,0.6,"Action, Romance, Drama, Comedy",Kannada,05/12/2024
275223,The Adventures of Sherlock Holmes: The Final Problem,8.6,5,Released,29/09/1985,0,51,FALSE,0,tt0506450,en,0.844,"Mystery, Drama, Crime",English,05/12/2024
927365,The force of nature humanity,6.4,5,Released,17/12/2021,15000,10,FALSE,1500000,tt16868156,fa,0.6,Drama,Persian,05/12/2024
102893,El ropavejero,5,5,Released,23/01/1947,0,104,FALSE,0,tt0180108,es,0.816,,Spanish,05/12/2024
444450,National Theatre Live: Rosencrantz & Guildenstern Are Dead,5.9,5,Released,20/04/2017,0,169,FALSE,0,tt6845728,en,0.855,"Comedy, Drama",,05/12/2024
256240,My Aunt Aline,5.6,5,Released,20/07/2007,0,100,FALSE,0,tt1063628,fr,1.347,Comedy,French,05/12/2024
256238,The Orphan Muses,5.8,5,Released,02/11/2000,0,107,FALSE,0,tt0226190,fr,0.998,Drama,French,05/12/2024
726743,Epilogue: The Punchline,7.8,5,Released,26/08/2019,0,23,FALSE,0,tt11835206,en,1.623,Comedy,English,05/12/2024
256233,Star Spangled Banners,5.6,5,Released,29/06/2013,0,85,FALSE,0,tt2907908,en,1.426,"Comedy, Drama",English,05/12/2024
611367,Mahasiswi Baru,6.4,5,Released,08/08/2019,0,95,FALSE,0,tt10633542,id,1.637,"Comedy, Drama",Indonesian,05/12/2024
256230,The Black Arrow,3,5,Released,12/05/1985,0,91,FALSE,0,tt0088921,ru,0.6,Adventure,Russian,05/12/2024
256228,What Difference Does It Make?,5.1,5,Released,17/02/2014,0,95,FALSE,0,tt3511442,en,1.645,"Documentary, Music",English,05/12/2024
256224,"The Prisoner of Zenda, Inc.",5.8,5,Released,01/09/1996,0,101,FALSE,0,tt0117387,en,2.729,"Adventure, Drama",English,05/12/2024
409986,Honeymoons,6,5,Released,01/01/1970,0,35,FALSE,0,tt0175977,hu,0.6,Documentary,Hungarian,05/12/2024
102944,Doomsday Rock,5.2,5,Released,23/08/1997,0,96,FALSE,0,tt0119009,en,1.643,"TV Movie, Science Fiction","English, French",05/12/2024
80612,The Christmas Tree,7,5,Released,22/12/1996,0,93,FALSE,0,tt0115892,en,3.438,"Drama, Family, TV Movie",English,05/12/2024
256210,The Night,5.8,5,Released,08/02/2014,0,95,FALSE,0,tt3511164,zh,0.6,Drama,Mandarin,05/12/2024
409983,Tres fábulas de Villa Ocampo,5.4,5,Released,01/01/2011,0,39,FALSE,0,tt1990371,es,0.6,,Spanish,05/12/2024
726795,Confessions of a Time Traveler: The Man from 3036,4.2,5,Released,02/07/2020,0,38,FALSE,0,tt12343322,en,1.549,"Science Fiction, Documentary",English,05/12/2024
102922,Gulliver's Travels,6.2,5,Released,04/02/1996,0,48,FALSE,0,tt1125862,en,0.793,"Music, Animation, Family, Fantasy",English,05/12/2024
409972,Portrait: Orson Welles,5.8,5,Released,01/06/1968,0,43,FALSE,0,tt0234497,fr,0.6,Documentary,"English, French",05/12/2024
956759,My Perfect Roommate,5.8,5,Released,22/06/2022,0,91,FALSE,0,tt21190408,ko,2.944,Drama,Korean,05/12/2024
444517,Roman Holiday,4.6,5,Released,28/12/1987,0,100,FALSE,0,tt0093877,en,1.977,"Romance, Comedy, Drama, TV Movie","English, Italian",05/12/2024
102941,On the Far Side of the Tunnel,4.4,5,Released,25/02/1994,0,105,FALSE,0,tt0103638,es,1.209,Drama,Spanish,05/12/2024
80437,The Finger,5.3,5,Released,26/05/2011,0,93,FALSE,0,tt1849759,es,0.857,,Spanish,05/12/2024
103820,Waqt Ki Awaz,6.2,5,Released,01/07/1988,0,155,FALSE,0,tt0096415,hi,3.391,"Action, Crime, Drama",Hindi,05/12/2024
104797,Unfair: the answer,6.6,5,Released,17/09/2011,0,109,FALSE,0,tt1791666,ja,2.021,"Action, Thriller, Mystery",Japanese,05/12/2024
80033,Sexual Roulette,4,5,Released,15/04/1997,0,80,FALSE,0,tt0124116,en,1.66,"Drama, Romance",English,05/12/2024
446692,Nocturne,6.2,5,Released,25/11/2016,0,90,FALSE,0,tt6604148,es,0.6,Thriller,Spanish,05/12/2024
80077,Pierre Desproges au théâtre Grévin,9.4,5,Released,01/01/1986,0,87,FALSE,0,tt8382568,fr,0.6,Comedy,French,05/12/2024
80076,Conspiracy of the Doomed,5.2,5,Released,06/06/1950,0,97,FALSE,0,tt0043156,ru,1.4,Drama,Russian,05/12/2024
636147,Cicada Song,5,5,Released,27/09/2019,0,73,FALSE,0,tt8549744,en,1.042,"Mystery, Thriller",,05/12/2024
20130,Jail,7,5,Released,06/11/2009,0,155,FALSE,0,tt1245774,hi,2.106,"Drama, Horror",Hindi,05/12/2024
832233,Conjuring the Genie,2,5,Released,05/05/2021,0,91,FALSE,0,tt12060182,en,2.458,Horror,English,05/12/2024
104458,Law and Order,4,5,Released,09/02/1932,0,75,FALSE,0,tt0023121,en,1.238,Western,English,05/12/2024
276058,Go! Go! G-Boys,6.4,5,Released,06/09/2006,0,79,FALSE,0,tt1144487,zh,0.6,"Comedy, Drama",Mandarin,05/12/2024
609726,Run for the High Country,3,5,Released,26/10/2018,0,84,FALSE,750000,tt6821206,en,1.266,Western,"English, Russian",05/12/2024
446757,Games of the XXI Olympiad,4.6,5,Released,21/04/1977,0,118,FALSE,0,tt0202928,fr,0.786,Documentary,French,05/12/2024
80059,The Tattooed Widow,6.9,5,Released,10/03/1998,0,99,FALSE,0,tt0120299,sv,2.23,Drama,Swedish,05/12/2024
104485,The Four Feathers,4.2,5,Released,01/06/1929,0,81,FALSE,0,tt0018908,en,1.706,"Drama, Adventure",English,05/12/2024
104487,Betrayed Women,4.4,5,Released,17/07/1955,0,70,FALSE,0,tt0047875,en,2.793,"Crime, Drama",English,05/12/2024
104491,Girls in Prison,4,5,Released,01/07/1956,0,87,FALSE,0,tt0049265,en,2.378,"Drama, Crime",English,05/12/2024
254738,The Knot,6.8,5,Released,04/12/1998,0,180,FALSE,0,tt0245209,ru,0.6,Documentary,Russian,05/12/2024
276070,Melody of Our Love,5.2,5,Released,21/03/2008,0,71,FALSE,0,tt1452838,ja,2.054,"Romance, Drama",Japanese,05/12/2024
254735,Good and Evil,5.4,5,Released,26/05/1975,0,80,FALSE,0,tt0126324,da,0.838,Documentary,Danish,05/12/2024
80056,The Private Life of an Actor,6.9,5,Released,26/02/1948,0,95,FALSE,0,tt0039273,fr,1.273,"Comedy, Drama",French,05/12/2024
254723,Snow White,5.7,5,Released,05/11/1992,0,90,FALSE,0,tt0105326,de,2.306,"Family, Fantasy, Romance",German,05/12/2024
104519,Damn You! the Mosquitoes,5.1,5,Released,10/02/2000,0,81,FALSE,0,tt0235982,hu,1.123,Comedy,Hungarian,05/12/2024
609687,Deliria,7.8,5,Released,27/01/2018,0,9,FALSE,0,tt7753112,sv,0.6,"Drama, Horror, Mystery",Swedish,05/12/2024
446686,Infinito,4.4,5,Released,28/07/2011,0,10,FALSE,0,tt2153254,pt,1.122,Drama,No Language,05/12/2024
80082,Tiger in the Smoke,7.1,5,Released,27/11/1956,0,94,FALSE,0,tt0049854,en,1.101,"Crime, Drama, Thriller",English,05/12/2024
408551,Sext Up Kids,5.4,5,Released,01/01/2012,0,45,FALSE,0,tt3793514,en,0.6,,English,05/12/2024
408689,Greetings to Kamal Jumblatt,5.2,5,Released,01/01/1977,0,57,FALSE,0,tt0169969,ar,0.6,Documentary,Arabic,05/12/2024
408728,Secretos compartidos,3.8,5,Released,01/01/1998,0,104,FALSE,0,tt0166797,es,1.266,,,05/12/2024
254874,Turtle Vision,5.8,5,Released,20/07/1991,0,60,FALSE,0,tt0103142,ja,1.146,"Drama, Horror",Japanese,05/12/2024
104412,One-Week Bachelors,4.1,5,Released,16/12/1982,0,99,FALSE,0,tt0084034,sv,2.443,Comedy,Swedish,05/12/2024
80160,Aaron… Albeit a Sex Hero,3.4,5,Released,01/03/2009,0,80,FALSE,0,tt1387312,en,1.072,"Action, Comedy",English,05/12/2024
254867,Nudes in Limbo,4.6,5,Released,01/01/1983,0,53,FALSE,0,tt0180879,en,2.5,,,05/12/2024
80159,Boredom in Brno,5.8,5,Released,22/04/2003,0,103,FALSE,0,tt0342844,cs,1.091,"Drama, Comedy, Romance",Czech,05/12/2024
446450,Bring Back the Dead,6.3,5,Released,08/01/2015,376973,86,FALSE,0,tt3959152,zh,1.4,Horror,Mandarin,05/12/2024
636031,Leave It to Levi,6,5,Released,13/06/2019,0,65,FALSE,0,tt14391414,en,1.074,Documentary,English,05/12/2024
446470,44 Pages,6.4,5,Released,18/04/2018,0,97,FALSE,0,tt6159734,en,0.6,Documentary,,05/12/2024
408667,A Drama of the Air,5,5,Released,31/12/1913,0,18,FALSE,0,tt0454302,fr,1.4,Drama,No Language,05/12/2024
